(True/False) Machine Learning is a subset of Artificial Intelligence,"['False', 'True']",['True']
(True/False) Deep Learning is a subset of Machine Learning,"['False', 'True']",['True']
(True/False) Machine Learning consists in programming computers to learn from real-time human interactions,"['False', 'True']",['False']
(True/False) AI Winters happened mostly due to the lack of understanding behind the theory of neural networks,"['True', 'False']",['True']
"Most modern applications that use computer vision, use models that were trained using this discipline:","['Machine Learning', 'Artificial Intelligence', 'Deep Learning']",['Deep Learning']
"In the Machine Learning Workflow, the main goal of the Data Exploration and Preprocessing step is to:","['Identify what data that is best suited to find a solution to your business problem', 'Determine how to clean your data such that you can use it to train a model']",['Determine how to clean your data such that you can use it to train a model']
What is the goal of supervised learning?,"['Find the target.', 'Find an underlying structure of the dataset without any labels.', 'Predict the labels.', 'Predict the features.']",['Predict the labels.']
What is deep learning?,"['Deep learning is machine learning that involves deep neural networks.', 'Deep learning is another name for artificial intelligence.', 'Deep learning includes artificial intelligence and machine learning.', 'None of the above are correct.']",['Deep learning is machine learning that involves deep neural networks.']
When is a standard machine learning algorithm usually a better choice than using deep learning to get the job done?,"['When working with small data sets.', 'When the data is steady over time.', 'When working with large data sets.', 'None of the above are correct.']",['When working with small data sets.']
What is a Turing test?,"['It tests images.', 'It tests and cleans the dataset.', ""It tests a machine's ability to exhibit intelligent behavior."", 'It tests the dataset.']","[""It tests a machine's ability to exhibit intelligent behavior.""]"
What are some of the different milestones in deep learning history?,"['Deep Blue defeats a world champion chess player, and AlexNet is created.', 'Deep Blue defeats a world champion chess player and TensorFlow is released', 'Geoffrey Hinton’s work, AlexNet, and TensorFlow', 'Deep Blue defeats a world champion chess player, and Keras is released.']","['Geoffrey Hinton’s work, AlexNet, and TensorFlow']"
What is artificial intelligence?,"['A subset of deep learning.', 'Any program that can sense, reason, act, and adapt.', 'A subset of machine learning', 'None of the above.']","['Any program that can sense, reason, act, and adapt.']"
What are two spaces within AI that are going through drastic growth and innovation?,"['Deep learning and machine learning.', 'Computer vision and deep learning.', 'Computer vision and natural language processing.', 'Language processing and deep learning.']",['Computer vision and natural language processing.']
Why did AI flourish so much in the last years?,"['Data storage in the cloud is much more expensive', 'Faster and inexpensive computers and data storage', 'Access to hardware for cleaning data', 'Stylish designed computers']",['Faster and inexpensive computers and data storage']
How does Alexa use artificial intelligence?,"['Recognizes faces and pictures.', 'Recognizes our voice and answers questions.', 'Suggests who a person on a photo is.', 'None of the above answers are correct.']",['Recognizes our voice and answers questions.']
What are the first two steps of a typical machine learning workflow?,"['Problem statement and data cleaning.', 'Problem statement and data collection.', 'Data collection and data transformation.', 'None of the above answers is correct.']",['Problem statement and data collection.']
Which statement about the Pandas read_csv function is TRUE?,"['It can only read comma-delimited data.', 'It reads data into a 2-dimensional NumPy array.', 'It allows only one argument: the name of the file.', 'It can read both tab-delimited and space-delimited data.']",['It can read both tab-delimited and space-delimited data.']
Which of the following is a reason to use JavaScript Object Notation (JSON) files for storing data?,"['Because the data is stored in a matrix format.', 'Because they can store NA values.', 'Because they can store NULL values.', 'Because they are cross-platform compatible.']",['Because they are cross-platform compatible.']
"The data below appears in 'data.txt', and Pandas has been imported. Which Python command will read it correctly into a Pandas DataFrame? 

63.03 22.55 39.61 40.48 98.67 -0.25 AB
39.06 10.06 25.02 29 114.41 4.56 AB
68.83 22.22 50.09 46.61 105.99 -3.53 AB","[""pandas.read_csv('data.txt')"", ""pandas.read_csv('data.txt', header=None, sep=' ')"", ""pandas.read_csv('data.txt', delim_whitespace=True)"", ""pandas.read_csv('data.txt', header=0, delim_whitespace=True)""]","[""pandas.read_csv('data.txt', header=None, sep=' ')""]"
(True/False) Outliers must be very extreme to noticeably impact the fit of a statistical model.,"['True', 'False']",['False']
"(True/False) Outliers should always be replaced, since they never contain useful information about the data.","['True', 'False']",['False']
"Which residual-based approach to identifying outliers compares running a model with all data to running the same model, but dropping a single observation?","['Standardized residuals', 'Unstandardized residuals', 'Externally-studentized residuals', 'Abnormally-studentized residuals']",['Externally-studentized residuals']
What is a CSV file?,"['CSV files are rows of data or values separated by commas.', 'CSV files are a standard way to store data across platforms.', 'CSV makes data readily available for analytics, dashboards, and reports.', 'CSV is a method of JavaScript Object Notation.']",['CSV files are rows of data or values separated by commas.']
What are residuals?,"['Residuals are a method to standardize data.', 'Residuals are a method for handling identified outliers.', 'Residuals are the difference between the actual values and the values predicted by a given model.', 'Residuals are data removed from the dataframe.']",['Residuals are the difference between the actual values and the values predicted by a given model.']
"If removal of rows or columns of data is not an option, why must we ensure that information is assigned for missing data?","['Most models will not accept blank values in our data.', 'Information must be assigned to prevent outliers.', 'Missing data may bias the dataset.', 'Assigning information for missing data improves the accuracy of the dataset.']",['Most models will not accept blank values in our data.']
What are the two main data problems companies face when getting started with artificial intelligence/machine learning?,"['Outliers and duplicated data', 'Data sampling and categorization', 'Lack of training and expertise', 'Lack of relevant data and bad data']",['Lack of relevant data and bad data']
What does SQL stand for and what does it represent?,"['SQL stands for Sequential Query Language, and it represents a set of sequential databases with fixed schemas.', 'SQL stands for Structured Query Language, and it represents databases that are not relational, they vary in structure.', 'SQL stands for Structured Query Language, and it represents a set of relational databases with fixed schemas.', 'SQL stands for Sequential Query Language, and it represents a set of relational databases with fixed schemas.']","['SQL stands for Structured Query Language, and it represents a set of relational databases with fixed schemas.']"
What does NoSQL stand for and what does it represent?,"['NoSQL stands for Non-Structured Query Language, and it represents a set of relational databases with fixed schemas.', 'NoSQL stands for Non-Structured Query Language, and it represents a set of non-relational databases with varied schemas.', 'NoSQL stands for Not-only SQL, and it represents a set of databases that are relational, therefore, they have fixed structure.', 'NoSQL stands for Not-only SQL, and it represents a set of databases that are not relational, therefore, they vary in structure.']","['NoSQL stands for Not-only SQL, and it represents a set of databases that are not relational, therefore, they vary in structure.']"
What is a JSON file?,"['JSON stands for JavaScript Object Notation, and it is a standard way to store the data across platforms.', 'JSON stands for JavaString Object Notation, and they have very similar structure to Python Dictionaries.', 'JSON stands for JavaString Object Notation, and it is a standard way to store the data across platforms.', 'JSON stands for JavaScript Object Notation, and it is a non-standard way to store the data across platforms.']","['JSON stands for JavaScript Object Notation, and it is a standard way to store the data across platforms.']"
What is meant by the Messy Data?,"['Duplicated or unnecessary data.', 'Inconsistent text and typos.', 'Missing data.', 'All of the above.']",['All of the above.']
What is an outlier?,"['Outlier is a data point that does not belong in our dataset.', 'Outlier is a data point that is very close to the mean value of all observations.', 'Outlier is a data point that has the highest or lowest value in the dataset.', 'Outlier is an observation in dataset that is distant from most other observations.']",['Outlier is an observation in dataset that is distant from most other observations.']
How do we identify outliers in our dataset?,"['We can only identify outliers visually through building plots.', 'We can identify outliers only by calculating the minimum and maximum values in the dataset.', 'We can only identify outliers by using some statistical calculations.', 'We can identify outliers both visually and with statistical calculations.']",['We can identify outliers both visually and with statistical calculations.']
"From the options listed below, select the option that is NOT a valid exploratory data approach to visually confirm whether your data is ready for modeling or if it needs further cleaning or data processing:","['Create a panel plot that shows distributions for the dependent variable and scatter plots for all independent variables', 'Train a model and identify the observations with the largest residuals', 'Create visualizations for scatter plots, histograms, box plots, and hexbin plots', 'Create a correlation heatmap to confirm the sign and magnitude of correlation across your features.']",['Create a correlation heatmap to confirm the sign and magnitude of correlation across your features.']
These are two of the most common variables for data visualization:,"['matplotlib and seaborn', 'scipy and seaborn', 'numpy and matplotlib', 'scipy and numpy']",['matplotlib and seaborn']
(True/False) You can use the pandas library to use plots.,"['True', 'False']",['True']
(True/False) Classification models require that input features be scaled.,"['True', 'False']",['False']
(True/False) Feature scaling allows better interpretation of distance-based approaches.,"['True', 'False']",['True']
(True/False) Feature scaling reduces distortions caused by variables with different scales.,"['True', 'False']",['True']
Which scaling approach converts features to standard normal variables?,"['MinMax scaling', 'Standard scaling', 'Nearest neighbor scaling', 'Robust scaling']",['Standard scaling']
Which variable transformation should you use for ordinal data?,"['Standard scaling', 'Ordinal encoding', 'Min-max scaling', 'One-hot encoding']",['Ordinal encoding']
What are polynomial features?,"['They are higher order relationships in the data.', 'They are represented by linear relationships in the data.', 'They are lower order relationships in the data.', 'They are logistic regression coefficients.']",['They are higher order relationships in the data.']
What does Boxcox transformation do?,"['It makes the data more right skewed.', 'It transforms categorical variables into numerical variables.', 'It transforms the data distribution into more symmetrical bell curve', 'It makes the data more left skewed']",['It transforms the data distribution into more symmetrical bell curve']
Select three important reasons why EDA is useful.,"['To examine correlations, to sample from dataframes, and to train models on random samples of data', 'To determine if the data makes sense, to determine whether further data cleaning is needed, and to help identify patterns and trends in the data', 'To analyze data sets, to determine the main characteristics of data sets, and to use sampling to examine data', 'To utilize summary statistics, to create visualizations, and to identify outliers']","['To determine if the data makes sense, to determine whether further data cleaning is needed, and to help identify patterns and trends in the data']"
What assumption does the linear regression model make about data?,"['This model assumes an addition of each one of the model parameters multiplied by a coefficient.', 'This model assumes a linear relationship between predictor variables and outcome variables.', 'This model assumes that raw data in data sets is on the same scale.', 'This model assumes a transformation of each parameter to a linear relationship.']",['This model assumes a linear relationship between predictor variables and outcome variables.']
What is skewed data?,"['Data that has a normal distribution.', 'Raw data that may not have a linear relationship.', 'Raw data that has undergone log transformation.', 'Data that is distorted away from normal distribution; may be positively or negatively skewed.']",['Data that is distorted away from normal distribution; may be positively or negatively skewed.']
Select the two primary types of categorical feature encoding.,"['One-hot encoding and ordinal encoding', 'Frequency encoding and label encoding', 'Log and polynomial transformation', 'Encoding and scaling']",['One-hot encoding and ordinal encoding']
Which scaling approach puts values between zero and one?,"['Standard scaling', 'Nearest neighbor scaling', 'Min-max scaling', 'Robust scaling']",['Min-max scaling']
Which variable transformation should you use for nominal data with multiple different values within the feature?,"['Standard scaling', 'One-hot encoding', 'Min-max scaling', 'Ordinal encoding']",['One-hot encoding']
"(True/False) In general, the population parameters are unknown.","['True.', 'False.']",['True.']
(True/False) Parametric models have finite number of parameters.,"['True.', 'False.']",['True.']
The most common way of estimating parameters in a parametric model is:,"['using the maximum likelihood estimation', 'using the central limit theorem', 'extrapolating a non-parametric model', 'extrapolating Bayesian statistics']",['using the maximum likelihood estimation']
A p-value is:,"['the smallest significance level at which the null hypothesis would be rejected', 'the probability of the null hypothesis being true', 'the probability of the null hypothesis being false', 'the smallest significance level at which the null hypothesis is accepted']",['the smallest significance level at which the null hypothesis would be rejected']
Type 1 Error 1 is defined as:,"['Saying the null hypothesis is false, when it is actually true', 'Saying the null hypothesis is true, when it is actually false']","['Saying the null hypothesis is false, when it is actually true']"
You find through a graph that there is a strong correlation between Net Promoter Score and the visual time that customers spend on a website. Select the TRUE assertion:,"['There is an underlying factor that explains this correlation, but manipulating the time that customers spend on a website may not affect the Net Promoter Score they will give to the company', 'To boost the Net Promoter Score of a business, you need to increase the time that customers spend on a website.']","['There is an underlying factor that explains this correlation, but manipulating the time that customers spend on a website may not affect the Net Promoter Score they will give to the company']"
Which one of the following is common to both machine learning and statistical inference?,"['Using population data to make inferences about a null sample.', 'Using sample data to make inferences about a hypothesis.', 'Using population data to model a null hypothesis.', 'Using sample data to infer qualities of the underlying population distribution.']",['Using sample data to infer qualities of the underlying population distribution.']
Which one of the following describes an approach to customer churn prediction stated in terms of probability?,"['Predicting a score for individuals that estimates the probability the customer will stay.', 'Churn prediction is a data-generating process representing the actual joint distribution between our x and the y variable.', 'Predicting a score for individuals that estimates the probability the customer will leave.', 'Data related to churn may include the target variable for whether a certain customer has left.']",['Predicting a score for individuals that estimates the probability the customer will leave.']
What is customer lifetime value?,"['The total churn generated by a customer over their lifetime.', 'The total churn a customer generates in the population.', 'The total value that the customer receives during their life.', 'The total purchases over the time which the person is a customer.']",['The total purchases over the time which the person is a customer.']
Which one the following statements about the normalized histogram of a variable is true?,"['It provides an estimate of the variable’s probability distribution.', 'It is a parametric representation of the population distribution.', 'It is a non-parametric representation of the population variance.', 'It serves as a bar chart for the null hypothesis.']",['It provides an estimate of the variable’s probability distribution.']
The outcome of rolling a fair die can be modelled as a _______ distribution.,"['uniform', 'normal', 'log-normal', 'Poisson']",['uniform']
Which one of the following features best distinguishes the Bayesian approach to statistics from the Frequentist approach?,"['Bayesian statistics is better than Frequentist.', 'Frequentist statistics requires construction of a prior distribution.', 'Frequentist statistics incorporates the probability of the hypothesis being true.', 'Bayesian statistics incorporate the probability of the hypothesis being true.']",['Bayesian statistics incorporate the probability of the hypothesis being true.']
Which of the following best describes what a hypothesis is?,"['A hypothesis is a statement about a prior distribution.', 'A hypothesis is a statement about a population.', 'A hypothesis is a statement about a posterior distribution.', 'A hypothesis is a statement about a sample of the population.']",['A hypothesis is a statement about a population.']
A Type 2 error in hypothesis testing is _____________________:,"['incorrectly accepting the null hypothesis.', 'correctly rejecting the alternative hypothesis.', 'incorrectly accepting the alternative hypothesis.', 'correctly rejecting the null hypothesis.']",['incorrectly accepting the null hypothesis.']
"Which statement best describes a consequence of a type II error in the context of a churn prediction example? Assume that the null hypothesis is that customer churn is due to chance, and that the alternative hypothesis is that customers enrolled for greater than two years will not churn over the next year.","['You correctly conclude that customer churn is by chance', 'You incorrectly conclude that there is no effect', 'You correctly conclude that a customer will eventually churn', 'You incorrectly conclude that customer churn is by chance']",['You incorrectly conclude that customer churn is by chance']
Which of the following is a statistic used for hypothesis testing?,"['The rejection region.', 'The acceptance region.', 'The likelihood ratio.', 'The standard deviation.']",['The likelihood ratio.']
"Predicting payment default, whether a transaction is fraudulent, and whether a customer will be part of the top 5% spenders on a given year, are examples of:","['classification', 'regression']",['classification']
"(True/False) It is less concerning to treat a Machine Learning model as a black box for prediction purposes, compared to interpretation purposes:","['True', 'False']",['True']
"Predicting total revenue, number of customers, and percentage of returning customers are examples of:","['classification', 'regression']",['regression']
(True/False) The Sum of Squared Errors (SSE) can be used to select the best-fitting regression model.,"['True', 'False']",['True']
(True/False) The R-squared value from estimating a linear regression model will almost always increase if more features are added.,"['True', 'False']",['True']
(True/False) The Total Sum of Squares (TSS) can be used to select the best-fitting regression model.,"['True', 'False']",['False']
"You can use supervised machine learning for all of the following examples, EXCEPT:","['Segment customers by their demographics.', 'Predict the number of customers that will visit a store on a given week.', 'Predict the probability of a customer returning to a store.', 'Interpret the main drivers that determine if a customer will return to a store.']",['Segment customers by their demographics.']
The autocorrect on your phone is an example of:,"['Unsupervised learning', 'Supervised learning', 'Semi-supervised learning', 'Reinforcement learning']",['Supervised learning']
Which of the following is the type of Machine Learning that uses only data with outcomes to build a model?,"['Supervised Machine Learning', 'Unsupervised Machine Learning', 'Mixed Machine Learning', 'Semi Supervised Learning']",['Supervised Machine Learning']
Which among the following options does not conform to the best practice of modelling in Supervised Machine learning?,"['Use the cost function to fit the model.', 'Use loss function to fit the model.', 'Develop multiple models.', 'Compare results and choose the best one.']",['Use loss function to fit the model.']
This is the syntax you need to predict new data after you have trained a linear regression model called LR :,"['LR=predict(X_test)', 'LR.predict(X_test)', 'LR.predict(LR, X_test)', 'predict(LR, X_test)']",['LR.predict(X_test)']
All of these options are useful error measures to compare regressions except:,"['SSE', 'R squared', 'TSS', 'ROC index']",['ROC index']
"All of the listed below are part of the Machine Learning Framework, except:","['Observations', 'Features', 'Parameters', 'None of the above']",['None of the above']
Select the option that is the most INACCURATE regarding the definition of Machine Learning:,"['Machine Learning allows computers to learn from data', 'Machine Learning allows computers to infer predictions for new data', 'Machine Learning is a subset of Artificial Intelligence', 'Machine Learning is automated and requires no programming']",['Machine Learning is automated and requires no programming']
"In Linear Regression, which statement is correct about Sum Squared Error?","['The Sum Squared Error measures the distance between the truth and predicted values.', 'The Sum Squared Error measures the distance between the truth and the  average values of the truth.', 'The Sum Squared  Error is a measure of the explained variation of our model.', 'The Sum Squared Error measures the distance between the predicted values and the average values of the truth.']",['The Sum Squared Error measures the distance between the truth and predicted values.']
When learning about regression we saw the outcome as a continuous number. Given the below options what is an example of regression?,"['A fraudulent charge', 'Under certain circumstances determine if a person is a Republican or Democrat', 'Customer churn', 'Housing prices']",['Housing prices']
What is another term for the testing data:,"['Training data', 'Unseen data', 'Corroboration data', 'Cross validation data']",['Unseen data']
(True/False) The ShuffleSplit will ensure that there is no bias in your outcome variable.,"['True', 'False']",['True']
Select the option that has the syntax to obtain the data splits you will need to train a model having a test split that is a third the size of your available data.,"['X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.5)', 'X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.33)', 'X_train, y_test = train_test_split(X, y, test_size=0.33)', 'X_train, y_test = train_test_split(X, y, test_size=0.5)']","['X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.33)']"
What is the main goal of adding polynomial features to a linear regression?,"['Remove the linearity of the regression and turn it into a polynomial model.', 'Capture the relation of the outcome with features of higher order.', 'Increase the interpretability of a black box model.', 'Ensure similar results across all folds when using K-fold cross validation.']",['Capture the relation of the outcome with features of higher order.']
"What is the most common sklearn methods to add polynomial features to your data? 

Note: polyFeat = PolynomialFeatures(degree)","['polyFeat.add and polyFeat.transform', 'polyFeat.add and polyFeat.fit', 'polyFeat.fit and polyFeat.transform', 'polyFeat.transform']",['polyFeat.fit and polyFeat.transform']
How can you adjust the standard linear approach to regression when dealing with fundamental problems such as prediction or interpretation?,"['Create a class instance', 'Add some non-linear patterns, i.e., polynomial features', 'Import the transformation method', 'By transforming the data']","['Add some non-linear patterns, i.e., polynomial features']"
The main purpose of splitting your data into a training and test sets is:,"['To improve accuracy', 'To avoid overfitting', 'To improve regularization', 'To improve crossvalidation and overfitting']",['To avoid overfitting']
"Complete the following sentence: The training data is used to fit the model, while the test data is used to:","['measure the parameters and hyperparameters of the model', 'tweak the model hyperparameters', 'tweak the model parameters', 'measure error and performance of the model']",['measure error and performance of the model']
What term is used if your test data leaks into the training data?,"['Test leakage', 'Training leakage', 'Data leakage', 'Historical data leakage']",['Data leakage']
Which one of the below terms use a linear combination of features?,"['Binomial Regression', 'Linear Regression', 'Multiple Regression', 'Polynomial Regression']",['Linear Regression']
"When splitting your data, what is the purpose of the training data?","['Compare with the actual value', 'Fit the actual model and learn the parameters', 'Predict the label with the model', 'Measure errors']",['Fit the actual model and learn the parameters']
Polynomial features capture what effects?,"['Non-linear effects.', 'Linear effects.', 'Multiple effects.', 'Regression effects.']",['Non-linear effects.']
"Which fundamental problems are being solved by adding non-linear patterns, such as polynomial features, to a standard linear approach?","['Prediction.', 'Interpretation.', 'Prediction and Interpretation.', 'None of the above.']",['Prediction and Interpretation.']
A testing data could be also reffered to as:,"['Training data', 'Unseen data', 'Corroboration data', 'None of the above']",['Unseen data']
Select the correct syntax to obtain the data split that will result in a train set that is 60% of the size of your available data.,"['X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.6)', 'X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.4)', 'X_train, y_test = train_test_split(X, y, test_size=0.40)', 'X_train, y_test = train_test_split(X, y, test_size=0.6)']","['X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.4)']"
What is the correct sklearn syntax to add a third degree polynomial to your model?,"['polyFeat = polyFeat.add(degree=3)', 'polyFeat = polyFeat.fit(degree=3)', 'polyFeat = PolynomialFeatures(degree=3)', 'polyFeat = polyFeat.transform(degree=3)']",['polyFeat = PolynomialFeatures(degree=3)']
"(True/False) In model complexity versus error diagram, the model compexity increases as the training error decreases.","['True', 'False']",['False']
"(True/False) In model complexity versus error diagram, there is an inflection point after which, as the cross validatio error increases, so does  the complexity of the model.","['True', 'False']",['True']
"(True/False) In the model complexity versus error diagram, the right side of the curve is where the model is underfitted and the left side of the curve, is where the model is overfitted.","['True', 'False']",['False']
"In K-fold cross-validation, how will increasing k affect the variance (across subsamples) of estimated model parameters?","['Increasing k will not affect the variance of estimated parameters.', 'Increasing k will usually reduce the variance of estimated parameters.', 'Increasing k will usually increase the variance of estimated parameters.', 'Increasing k will increase the variance of estimated parameters if models are underfit, but reduce it if models are overfit.']",['Increasing k will usually increase the variance of estimated parameters.']
Which statement about K-fold cross-validation below is TRUE?,"['Each subsample in K-fold cross-validation has at least k observations.', 'Each of the k subsamples in K-fold cross-validation is used as a training set.', 'Each of the k subsamples in K-fold cross-validation is used as a test set.', 'None of the above']",['Each of the k subsamples in K-fold cross-validation is used as a test set.']
"If a low-complexity model is underfitting during estimation, which of the following is MOST LIKELY true (holding the model constant) about K-fold cross-validation?","['Assuming there is enough training\xa0 data the number of folds in K-fold validation does not inherently result in underfitting.', 'K-cross-validation with a small k will reduce or eliminate underfitting.', 'K-fold cross-validation with a large k will reduce or eliminate underfitting.', 'None of the above.']",['Assuming there is enough training\xa0 data the number of folds in K-fold validation does not inherently result in underfitting.']
